item_code;
63900;Photocopy charge per A4 sheet (black and white)
64000;Newspaper advertisement, (funeral)
64002;Shirt short sleeves
65002;Branded T-Shirt
66002;Wax Design Shirt
68002;Shorts men
69002;Shorts women
71002;Sports shirt men
72002;Sports shirt women
73002;Jeans (men)
74002;Jeans ( women)
75002;Underwear women
76002;Underwear men
77002;Underwear children
79002;Men (Second hand clothing=
80002;Women
81002;Children
83002;Men (Uniform)
84002;Women
85002;Children
87002;Men
88002;Women
89002;Children
93002;Other articles of clothing and clothing accessories
94002;Handkerchief (women)
95002;Scarf (women)
96002;Handkerchief (men)
97002;Men’s Belt (leather or synthetic)
98002;Men's Socks
99002;Polyester tie
100000;Rent
200000;Repair
300000;Ely
